192	131	109	0.44006692	0.30026128	0.24983957
时代	1	0	0	0.00016118	0.00000189	0.00002296
以来	3	0	0	0.00048033	0.00000189	0.00002296
经常	0	4	0	0.00000160	0.00075883	0.00002296
牵头	1	0	0	0.00016118	0.00000189	0.00002296
景	0	0	1	0.00000160	0.00000189	0.00231928
版块	1	0	0	0.00016118	0.00000189	0.00002296
编辑	3	0	0	0.00048033	0.00000189	0.00002296
王晶	0	1	0	0.00000160	0.00019113	0.00002296
任何	0	2	0	0.00000160	0.00038036	0.00002296
凯乐	1	0	0	0.00016118	0.00000189	0.00002296
宣称	1	1	0	0.00016118	0.00019113	0.00002296
部件	1	0	0	0.00016118	0.00000189	0.00002296
警告	0	1	0	0.00000160	0.00019113	0.00002296
价格	3	2	0	0.00048033	0.00038036	0.00002296
部分	1	2	0	0.00016118	0.00038036	0.00002296
各自	0	1	0	0.00000160	0.00019113	0.00002296
新浪网	0	1	0	0.00000160	0.00019113	0.00002296
特许	1	1	0	0.00016118	0.00019113	0.00002296
显	2	0	0	0.00032075	0.00000189	0.00002296
郑秀文	0	1	0	0.00000160	0.00019113	0.00002296
而言	2	2	0	0.00032075	0.00038036	0.00002296
必要	0	3	0	0.00000160	0.00056959	0.00002296
喜剧	1	1	1	0.00016118	0.00019113	0.00231928
是	71	66	0	0.01133172	0.01249130	0.00002296
三年	0	2	0	0.00000160	0.00038036	0.00002296
计算器	1	0	0	0.00016118	0.00000189	0.00002296
姜奇平	1	1	0	0.00016118	0.00019113	0.00002296
常委	1	0	0	0.00016118	0.00000189	0.00002296
一年	3	1	0	0.00048033	0.00019113	0.00002296
维修	0	3	0	0.00000160	0.00056959	0.00002296
两年	1	0	0	0.00016118	0.00000189	0.00002296
发型	0	1	0	0.00000160	0.00019113	0.00002296
节制	0	1	0	0.00000160	0.00019113	0.00002296
社会主义	2	0	0	0.00032075	0.00000189	0.00002296
市场	11	25	0	0.00175697	0.00473273	0.00002296
邮件	1	4	0	0.00016118	0.00075883	0.00002296
巨头	5	6	0	0.00079949	0.00113729	0.00002296
开车	1	0	0	0.00016118	0.00000189	0.00002296
无望	0	1	0	0.00000160	0.00019113	0.00002296
出台	2	1	0	0.00032075	0.00019113	0.00002296
曾	2	3	0	0.00032075	0.00056959	0.00002296
含量高	0	1	0	0.00000160	0.00019113	0.00002296
那里	0	0	1	0.00000160	0.00000189	0.00231928
加	2	2	0	0.00032075	0.00038036	0.00002296
配套	3	2	0	0.00048033	0.00038036	0.00002296
更	17	5	0	0.00271444	0.00094806	0.00002296
很多	1	0	0	0.00016118	0.00000189	0.00002296
配件	0	2	0	0.00000160	0.00038036	0.00002296
