id | docid | word-string | confidence-score | word-polarity | context-string
 | 1.txt | 甜言蜜语 | 1 | neg | 当你看到这样的甜言蜜语的时候，就要警惕了
 | 1.txt | 病毒 | 1 | neg | 据介绍，这一最新的Trojan.GOP病毒已经有多个版本，以前版本不具有
 | 1.txt | 版本 | 0.82962962962963 | neg | 最新的Trojan.GOP病毒已经有多个版本，以前版本不具有蠕虫的特性，需要
 | 1.txt | 蠕虫 | 1 | neg | 已经有多个版本，以前版本不具有蠕虫的特性，需要恶意者手动发送邮件
 | 1.txt | 恶意 | 1 | neg | ，以前版本不具有蠕虫的特性，需要恶意者手动发送邮件
 | 100.txt | 问题 | 1 | neg | 计算机　　存在问题：组装机的质量问题占了很大
 | 100.txt | 故障 | 1 | neg | （如硬盘，内存条、CDROM）发生故障后商家不履行三包规定
 | 100.txt | 维权 | 1 | pos | 查询确认，这样一旦发生质量纠纷，消费者维权也就有了凭证
 | 100.txt | 凭证 | 1 | pos | 发生质量纠纷，消费者维权也就有了凭证
 | 11.txt | 兴趣 | 1 | pos | 但是创维更大的兴趣是打造高清DVD
 | 11.txt | 能力 | 1 | pos | 据透露，目前创维高清DVD的日产能力已达千台，定价将在1200元
 | 11.txt | 巨头 | 1 | pos | 曾被邀请参加过EVD联盟会议的家电巨头TCL，今年甚至选择了退席
 | 12.txt | 自领一军 | 1 | neg | 因为刻录DVD已自领一军，新一代“蓝光”DVD标准已定
 | 12.txt | 标准 | 1 | pos | DVD已自领一军，新一代“蓝光”DVD标准已定，到2005年随着刻录DVD和“
 | 12.txt | 灭顶之灾 | 1 | neg | 届时EVD无疑将面临灭顶之灾
 | 13.txt | 包围圈 | 1 | neg | EVD是中国碟机企业试图突破外国厂商专利包围圈的一次尝试
 | 13.txt | 骨干 | 1 | pos | 金正、步步高、万利达等9家DVD生产骨干企业联手开始进行EVD技术的研发
 | 14.txt | 难关 | 1 | neg | 研制生产、整机产业化规模生产等多道难关
 | 18.txt | 优点 | 1 | pos | 清晰度和与数字高清电视配套使用的优点，所以比EVD更胜一筹
 | 18.txt | 优势 | 1 | pos | ，EVD可谓生不逢时，尚未批量问世，其优势已不再明显了
 | 18.txt | 压力 | 1 | neg | DVD和DVD刻录机必将对EVD产生一定的压力
 | 21.txt | 新闻 | 1 | neg | 　　新科新闻发言人樊文建对《盈周刊》记者有关上述
